timestamp,employer,location,job_title,years_at_employer,years_of_experience,salary,signing_bonus,annual_bonus,annual_stock_bonus,gender,additional_comments
2016-03-21 13:21:00,,,Software Engineer,0.0,8.0,180000.0,0.0,0.0,0.0,Male,No benefits
2016-03-21 13:22:00,,PaloAlto,Mechanical Engineer,3.0,3.0,90000.0,10000.0,5000.0,60000.0,Male,
2016-03-21 13:22:00,,20008,Engineer,2.0,2.0,135000.0,0.0,0.0,2000.0,Male,
2016-03-21 13:22:00,,,Data Scientist,7.0,8.0,86500.0,0.0,13000.0,2000.0,Male,
2016-03-21 13:22:00,,,Senior Software Engineer,1.0,10.0,100000.0,0.0,0.0,0.0,Male,
2016-03-21 13:22:00,Iceland,London,Sales Assistant,0.0,0.0,8000.0,0.0,0.0,0.0,Male,"Great retail job, £7.98 an hour, higher than the competition bar from Aldi, Lidl"
2016-03-21 13:22:00,Grubhub,,Senior software engineer,2.0,7.0,128000.0,0.0,0.0,5000.0,Male,
2016-03-21 13:22:00,Software,,Senior Developer,3.0,5.0,90000.0,0.0,7500.0,0.0,Female,
2016-03-21 13:22:00,,55414,Software Engineer,1.0,3.0,70000.0,0.0,1300.0,0.0,Male,
2016-03-21 13:23:00,Google,Mountain View,Senior Software Engineer,5.0,15.0,178000.0,15000.0,50000.0,100000.0,Male,Love every day of my job
2016-03-21 13:23:00,,Boston,Data Scientist,4.0,4.0,85000.0,0.0,5000.0,0.0,Male,
2016-03-21 13:26:00,Amazon,98105,UX Designer II,1.0,1.0,120000.0,0.0,0.0,0.0,Male,
2016-03-21 13:23:00,Caesartenders,0,Software engineer,2.0,7.0,62000.0,0.0,0.0,0.0,Male,
2016-03-21 13:23:00,,95814,Developer,4.0,8.0,148000.0,0.0,2000.0,0.0,Male,
2016-03-21 13:23:00,Cap1,,Data Engineer,0.0,0.0,80000.0,10000.0,5000.0,0.0,Male,
2016-03-21 13:24:00,,,Director of Engineering,4.0,10.0,175000.0,0.0,15000.0,25000.0,Male,
2016-03-21 13:24:00,,"Boston, MA",Software Engineer,1.0,7.0,100000.0,0.0,0.0,0.0,Male,Non-profit Institute
2016-03-21 13:24:00,Analyst Warehouse,Dallas Tx,Software developer,1.0,10.0,90000.0,0.0,0.0,0.0,Male,
2016-03-21 13:24:00,Self,Austin,Owner,5.0,12.0,80000.0,0.0,120000.0,0.0,Male,
2016-03-21 13:24:00,,Toronto,Development Lead,1.0,12.0,110000.0,0.0,0.0,0.0,Male,
2016-03-21 13:24:00,VMware,Seattle,Sr. MTS,1.0,10.0,155000.0,25000.0,15000.0,0.0,Male,
2016-03-21 13:24:00,,"Phoenix, AZ",Web Developer,2.0,5.0,105000.0,0.0,0.0,0.0,Male,
2016-03-21 13:24:00,Fyber Gmbh,Berlin,Senior Software Developer,4.0,9.0,65000.0,3000.0,0.0,0.0,Male,
2016-03-21 13:24:00,,98105,Sr. Director of Program Management,2.0,12.0,187468.0,0.0,0.0,0.0,Male,
2016-03-21 13:26:00,,"Salt Lake City, UT",Software Engineer,6.0,8.0,92000.0,0.0,0.0,0.0,Male,
2016-03-21 13:24:00,,,Software Developer,3.0,3.0,66111.0,0.0,0.0,0.0,Male,
2016-03-21 13:24:00,Facebook,Seattle,Software Engineer,4.0,6.0,225000.0,50000.0,45000.0,200000.0,Male,
2016-03-21 13:25:00,,,Data Scientist,0.0,0.0,70000.0,0.0,0.0,2500.0,Male,
2016-03-21 13:25:00,DuPont Pioneer,"Johnston, Iowa",Software Developer,3.0,10.0,125000.0,10000.0,15000.0,0.0,Male,
2016-03-21 13:25:00,,"Istanbul, Turkey",Software developer,1.0,1.0,24000.0,0.0,800.0,0.0,Male,Pay in USD
2016-03-21 13:25:00,Newspaper Company,California,CTO,1.0,8.0,100000.0,0.0,0.0,0.0,Male,
2016-03-21 13:25:00,BHHC,"Omaha, NE",FP&A Analyst,3.0,3.0,46500.0,0.0,0.0,0.0,Male,
2016-03-21 13:25:00,Optum,"Plymouth, MN",Software Engineer,1.0,6.0,85000.0,3000.0,5000.0,1000.0,Male,
2016-03-21 13:25:00,MathWorks,Boston Metro,Senior Software Engineer,4.0,10.0,115000.0,0.0,10000.0,0.0,Male,
2016-03-21 13:25:00,,Boston,Data Scientist,0.0,3.0,110000.0,0.0,10000.0,10000.0,Male,
2016-03-21 13:26:00,Hewlett Packard Enterprise,Sunnyvale,Software Engineer,1.0,1.0,100000.0,10000.0,0.0,3000.0,Male,
2016-03-21 13:26:00,Autodesk,San Francisco,Software Engineer,0.0,5.0,130000.0,0.0,13000.0,5000.0,Male,
2016-03-21 13:26:00,Facebook,Menlo Park,Software Engineer,1.0,3.0,150000.0,50000.0,15000.0,100000.0,Male,
2016-03-21 13:26:00,Accretive Technology Group,Seattle,Software Developer,1.0,1.0,75000.0,0.0,2000.0,0.0,Male,
2016-03-21 13:26:00,,"Orlando, FL",Game Designer,1.0,0.0,46000.0,0.0,0.0,0.0,Male,
2016-03-21 13:26:00,Sunpower,"Richmond, CA",Financial Engineer,1.0,0.0,87000.0,0.0,8000.0,0.0,Male,Mainly software for finance
2016-03-21 13:26:00,,,Software Engineer,0.0,3.0,130000.0,0.0,0.0,0.0,Male,
2016-03-21 13:27:00,Amazon.com,Seattle,SDE,4.0,4.0,91000.0,20000.0,0.0,35000.0,Female,
